"difficulty","question","metric","dimension"
"L2","What is the total billed sales for RU in 2024-01?","total_sales","ru, year_month"
"L2","What is the total billed quantity for EMEA (ru) in 2024-07 (POA BILLED Qty)?","total_qty","ru"
"L2","What is the POA MoM growth % for billing in 2023-01?","MoM Growth %","year_month"
"L2","Analyze QoQ growth percentage in total_sales for EMEA (ru) from Q2 2024 to Q3 2024.","QoQ growth in total_sales","ru"
"L2","What is the YoY growth percentage in POA total_sales for customer HON HAI in 2024?","YoY Growth %","customer_parent"
"L2","What is the total sales for EMEA (ru) in 2023-01?","total_sales","ru, year_month"
"L2","What is the total billed for the EMEA region in 2024-01?","total_sales","region"
"L2","What is the total quantity for 2023-01?","Total Qty","year_month"
"L2","What is the total billed quantity for ru 'EMEA' in 2023-01?","total_qty","ru"
"L2","What is the total cost for brand KEMET in January 2024?","total_cost","brand, year_month"
"L2","What is the Gross Profit (GP) for HON HAI in 2024-03?","Gross Profit","customer_parent"
"L2","What is the gross margin for EMEA (ru) in 2024-01?","Gross Margin","ru, year_month"
"L2","What is the GM% (Gross Margin %) for EMEA (ru) in 2024-01?","GM%","ru"
"L2","What is the total sales for Resistors (pbg) in 2024-01?","total_sales","pbg"
"L2","What is the MoM growth in total_sales for EMEA (ru) in 2024-02?","MoM growth in total_sales","ru = 'EMEA', year_month = '2024-02'"
"L2","What is the QoQ growth in total_sales for EMEA (ru) in Q3 2024?","total_sales","ru"
"L2","What is the YoY growth in sales for the EMEA region in 2024?","YoY sales growth","EMEA"
"L2","What is the MoM % change in total_sales for EMEA (Russia) in 2024-01?","MoM","region_country"
"L2","What is the QoQ % change in total_sales for EMEA (ru) between Q2 2024 and Q3 2024?","QoQ % change in total_sales","ru"
"L2","What is the YoY percentage growth in total_sales for brand YAGEO in the year 2024 (compared to 2023)?","YoY growth in total_sales","brand"
"L2","What is the total sales for order_type = BACKLOG in 2024-01?","total_sales","order_type"
"L2","What is the total_qty for year_month = '2024-01' and order_type = 'BACKLOG'?","total_qty","order_type, year_month"
"L2","What is the total sales for bookings in RU for 2024-01?","total_sales","ru"
"L2","What is the total booked quantity for EMEA (ru) for 2024-01 in the POA Booking dataset?","total_qty","ru, year_month"
"L2","What is the POA BOOKED MoM growth % for EMEA (ru) in 2024-04?","MoM Growth % (POA BOOKED)","EMEA (ru)"
"L2","What is the QoQ growth percentage for POA booked total_sales for EMEA (ru) in Q3 2024, compared to Q2 2024?","total_sales","ru = EMEA"
"L2","What is the YoY growth % in total_sales for POA BOOKED (booking) in EMEA (ru) between 2023 and 2024?","YoY Growth %","ru"
"L2","What is the total booked sales for EMEA (Russia; country code RU) in 2024-01?","total_sales","ru"
"L2","What is the total booked quantity for 2024-01?","total_qty","year_month"
"L2","What is the total sales for POA OTR in EMEA (ru) for 2024?","total_sales","EMEA_ru"
"L2","What is the total OTR quantity (Qty) for ru=EMEA in 2024-01?","total_qty","{'name': 'ru', 'value': 'EMEA'}"
"L2","What is the total OTR sales for region 'EMEA' in the year 2024?","total_sales","region = 'EMEA', year = 2024"
"L2","What is the total OTR quantity for all order types in Q3 2024?","total_qty","quarter"
"L2","What is the BB Ratio for ru = 'EMEA' in year_month = '2024-07'?","BB Ratio","ru, year_month"
"L2","What is the total quantity for product group 'Resistors' in region 'EMEA (RU)' for Q3 2024?","total_qty","region, pbg"
"L2","What is the total sales value for EMEA (ru) by quarter in 2024?","total_sales","ru, year_quarter"
"L2","What is the total sales for EMEA (ru) in 2024-01?","total_sales","ru, year_month"
