"difficulty","question","metric","dimension"
"L1","What is the POA BILLED for 2024-06?","POA BILLED","N/A"
"L1","What is the POA BILLED Qty for 2025-01?","POA BILLED","N/A"
"L1","What is the POA M/M Growth % for 2025-12?","POA M/M Growth %","N/A"
"L1","What is the POA QoQ Growth % for Q2 2024 (vs Q1 2024)?","POA QoQ Growth %","N/A"
"L1","What is the POA YoY Growth % for 2025-01?","POA YoY Growth %","N/A"
"L1","What is the Total Sales for 2025-04?","Total Sales","N/A"
"L1","What is the POA BILLED for 2025-07?","POA BILLED","N/A"
"L1","What is the total quantity for 2025-03?","Total Qty","N/A"
"L1","What is the Total Billed Qty for 2025-04?","Total Billed Qty","N/A"
"L1","What is the Total Cost for 2025-04?","Total Cost","N/A"
"L1","What is the Gross Profit (GP) for 2025-03?","Gross Profit (GP)","N/A"
"L1","What is the GM% for 2025-12?","GM%","N/A"
"L1","What is the GM% for 2025-12?","GM%","N/A"
"L1","What is the Average Price (ASP) for 2025-03?","Average Price (ASP)",""
"L1","What is the MoM % for 2025-02?","MoM %","N/A"
"L1","What is the POA QoQ Growth % for Q4 2024?","POA QoQ Growth %","N/A"
"L1","What is the YoY Growth % for POA BILLED for the year 2025?","POA BILLED","N/A"
"L1","What is the POA BILLED MoM % for 2025-01?","MoM %","N/A"
"L1","What was the POA Q/Q Growth % for Q3 2024?","POA Q/Q Growth %","N/A"
"L1","What is the YoY Growth % for POA BILLED in 2025 (vs 2024)?","YoY Growth %","POA BILLED"
"L1","What is the POA backlog for 2025-01?","poa_backlog","N/A"
"L1","What is the BB Qty Ratio for POA BACKLOG in 2025-01?","BB Qty Ratio","POA BACKLOG"
"L1","What is the POA BOOKED for 2025-08?","POA BOOKED","N/A"
"L1","What was the POA BOOKED Qty for 2025-08?","POA BOOKED Qty","N/A"
"L1","What is the POA BOOKED M/M Growth % for 2025-02?","POA BOOKED M/M Growth %","N/A"
"L1","What is the POA BOOKED Q/Q Growth % for Q2 2024 (vs Q1 2024)?","POA Q/Q Growth %","N/A"
"L1","What is the POA BOOKED Y/Y Growth % for December 2025?","POA BOOKED Y/Y Growth %","N/A"
"L1","What is the Total Booked for Booking in 2025-03?","Total Booked","Booking"
"L1","What is the Total Booked Qty in Booking for 2025-08?","total_qty","N/A"
"L1","What is the BB Ratio for POA OTR in 2025-02?","BB Ratio","POA OTR"
