"difficulty","question","metric","dimension","expected_answer"
"L1","What is the total billing for 2024-06?","Total Billing","N/A","### Total Billing (2024-06)
**Answer**: USD 3,512,980.75

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: Month-end closed

**Context (optional)**
- June 2024 billing consolidated across shipment orders.

[Recommended next step]
- Would you like a breakdown by brand, region, or customer for 2024-06?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_sales) AS total_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-06'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total cost for 2024-07?","Total Cost","N/A","### Total Cost (2024-07)
**Answer**: USD 2,345,678.90

**Scope / Confidence**
- Includes SHIPMENT order_type for billing data
- **Data status**: Month-end closed

**Context (optional)**
- This value reflects total_cost for July 2024 from the billing dataset.

[Recommended next step]
- I can break this down by brand, ru/sub_unit, or product group if you’d like.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_cost) AS total_cost
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-07'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-07', order_type = 'SHIPMENT'
- **Time Range**: 2024-07 to 2024-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the gross profit for 2024-07?","Gross Profit","N/A","### Gross Profit (2024-07)
**Answer**: USD 2,569,670.35

**Scope / Confidence**
- Includes SHIPMENT orders for July 2024 (Billing data)
- Data status: Month-end closed

**Context (optional)**
- Gross Profit (GP) is calculated as SUM(total_sales) - SUM(total_cost) for SHIPMENT orders in 2024-07.

[Recommended next step]
- If needed, I can break this down by brand, region, or product family.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gross_profit
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-07'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month = '2024-07'
- **Time Range**: 2024-07 to 2024-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the GM% for 2024-08?","Gross Margin % (GM%)","N/A","### GM% (2024-08)
**Answer**: 29.4%

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: Month-end closed

**Context (optional)**
- Computed as (SUM(total_sales) - SUM(total_cost)) / SUM(total_sales) * 100 for 2024-08.

[Recommended next step]
- If needed, I can break this down by brand, region, or product group.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) * 100 AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-08'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08 to 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the ASP for 2024-08?","Average Selling Price (ASP)","N/A","### ASP (2024-08)
**Answer**: 42.73 USD/pcs

**Scope / Confidence**
- Includes all shipments for 2024-08 from the billing table (order_type='SHIPMENT')
- **Data status**: Month-end closed

**Context (optional)**
- The ASP is calculated as total_sales divided by total_qty for the specified period.

[Recommended next step]
- Would you like a breakdown by brand, region, or customer for 2024-08?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_qty) AS total_qty,
  SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS ASP
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-08'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08 to 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","Show me the total bookings for 2024-03.","Total Bookings","N/A","### Bookings (2024-03)
**Answer**: USD 4,892,150.40

**Scope / Confidence**
- Includes all bookings data for 2024-03 across all brands, regions, and product categories
- **Data status**: Month-end closed

**Context (optional)**
- Total bookings value (Booking table) for the requested period.

[Recommended next step]
- If needed, I can break this down by brand, ru/sub_unit, or pbg/pbu.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT year_month, SUM(total_sales) AS total_bookings
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-03'
GROUP BY year_month;
```
- **Filters Applied**: year_month = '2024-03'
- **Time Range**: 2024-03
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the total booking quantity for 2024-05?","Total Booking Qty","N/A","### Booking Quantity (2024-05)
**Answer**: 42,315 units

**Scope / Confidence**
- Includes all bookings data for all brands and regions, monthly aggregation
- **Data status**: Month-end closed

**Context (optional)**
- May 2024 booking quantity reflects demand intake for that month.

**Recommended next step**
- If needed, I can break this down by brand, region, or product line.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_qty) AS total_qty
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-05';
```
- **Filters Applied**: year_month = '2024-05'
- **Time Range**: 2024-05 to 2024-05
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the book-to-bill ratio for 2024-04?","Total Bookings","N/A","### Book-to-Bill Ratio (2024-04)
**Answer**: 1.28x (Booking 6,250,000 USD; Billing SHIPMENT 4,900,000 USD)

**Scope / Confidence**
- Includes: Booking total_sales for 2024-04 from ods.fact_monthly_sales_poa_booking
- Includes: Billing total_sales for 2024-04 with order_type='SHIPMENT' from ods.fact_monthly_sales_poa_billing
- **Data status**: Month-end closed

**Context (optional)**
- The BB Ratio of 1.28x indicates bookings exceeded shipments by ~28% in April 2024.

[Recommended next step]
- I can break down the ratio by brand, ru/sub_unit, or focus product to identify drivers.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  b.booking_total,
  s.billing_total,
  ROUND(b.booking_total / NULLIF(s.billing_total, 0), 4) AS bb_ratio
FROM
  (SELECT COALESCE(SUM(total_sales),0) AS booking_total
   FROM ods.fact_monthly_sales_poa_booking
   WHERE year_month = '2024-04') b
CROSS JOIN
  (SELECT COALESCE(SUM(total_sales),0) AS billing_total
   FROM ods.fact_monthly_sales_poa_billing
   WHERE year_month = '2024-04' AND order_type = 'SHIPMENT') s;
```
- **Filters Applied**: year_month = '2024-04' for booking; year_month = '2024-04' AND order_type = 'SHIPMENT' for billing
- **Time Range**: 2024-04
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the month-over-month change in total billing for 2023-05?","Total Billing","N/A","### Total Billing (2023-05)
**Answer**: USD 5,400,000.00 (MoM: +USD 300,000.00 | +5.9%)

**Scope / Confidence**
- Billing SHIPMENT only; all brands and regions
- **Data status**: Month-end closed

**Context (optional)**
- MoM change indicates growth from the previous month (April 2023)

[Recommended next step]
- Would you like a breakdown by brand, region, or product to identify contributors?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT year_month,
       SUM(total_sales) AS total_sales,
       (SUM(total_sales) - LAG(SUM(total_sales)) OVER (ORDER BY year_month)) AS mom_delta,
       ( (SUM(total_sales) - LAG(SUM(total_sales)) OVER (ORDER BY year_month)) / NULLIF(LAG(SUM(total_sales)) OVER (ORDER BY year_month), 0) ) * 100 AS mom_pct
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month IN ('2023-04','2023-05')
  AND order_type = 'SHIPMENT'
GROUP BY year_month
ORDER BY year_month;
```
- **Filters Applied**: order_type='SHIPMENT'; year_month IN ('2023-04','2023-05')
- **Time Range**: 2023-04 to 2023-05
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the QoQ change in total billing for 2024-04?","Total Billing","N/A","Total Billing (2024-04)
**Answer**: USD 28,500,000.00 (QoQ: +USD 3,000,000.00 | +11.76%)

**Scope / Confidence**
- Includes all SHIPMENT billing data for 2024-04 and the baseline Jan–Mar 2024 period
- Data status: Month-end settled

**Context (optional)**
- QoQ comparison uses April 2024 vs. sum of January–March 2024. April shows a positive QoQ change of 11.76% (+USD 3.0M) against a baseline of USD 25.5M.

[Recommended next step]
- Would you like this broken down by brand, ru, or product group (pbg/pbu) for deeper insights?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(CASE WHEN year_month = '2024-04' THEN total_sales ELSE 0 END) AS april_2024_sales,
  SUM(CASE WHEN year_month IN ('2024-01','2024-02','2024-03') THEN total_sales ELSE 0 END) AS baseline_q1_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month IN ('2024-01','2024-02','2024-03','2024-04')
  AND order_type = 'SHIPMENT';
```

- **Filters Applied**: order_type = 'SHIPMENT'; year_month in ('2024-01','2024-02','2024-03','2024-04')
- **Time Range**: 2024-01 to 2024-04
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
