"difficulty","question","metric","dimension","expected_answer"
"L1","What is the total billing for 2024-06?","Total Billing","N/A","### Total Billing (2024-06)
**Answer**: USD 4,521,304.68

**Scope / Confidence**
- Includes all brands, ru, sub_unit, pbg, pbu, etc. for SHIPMENT billing in 2024-06
- **Data status**: Month-end closed

**Context (optional)**
- Billing total for shipments in June 2024.

[Recommended next step]
- If needed, I can break this down by brand, region, or customer, or export a detailed breakdown by dimension.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  year_month,
  SUM(total_sales) AS total_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-06'
  AND order_type = 'SHIPMENT'
GROUP BY year_month;
```
- **Filters Applied**: year_month = '2024-06', order_type = 'SHIPMENT'
- **Time Range**: 2024-06 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total cost for 2024-07?","Total Cost","N/A","### Total Cost (2024-07)
**Answer**: USD 7,890,123.45

**Scope / Confidence**
- Includes all brands and regions for shipment orders in 2024-07
- **Data status**: Month-end closed

**Context (optional)**
- Total_cost reflects the cost incurred for SHIPMENT order types in July 2024.

[Recommended next step]
- Would you like this broken down by brand, ru, or sub_unit?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_cost) AS total_cost
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-07'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-07'; order_type = 'SHIPMENT'
- **Time Range**: 2024-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the gross profit for 2024-07?","Gross Profit","N/A","### Gross Profit (2024-07)
**Answer**: USD 4,455,555.45

**Scope / Confidence**
- Includes all brands and product groups for SHIPMENT billing in 2024-07
- **Data status**: Month-end closed

**Context (optional)**
- Gross Profit = SUM(total_sales) - SUM(total_cost) for the billing SHIPMENT data in July 2024.

[Recommended next step]
- If needed, I can break this down by brand, ru, or pbu for deeper insight.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gross_profit
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-07'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-07', order_type = 'SHIPMENT'
- **Time Range**: 2024-07 to 2024-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the GM% for 2024-08?","Gross Margin % (GM%)","N/A","### GM% (2024-08)
**Answer**: 36.08%

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: Month-end closed

**Context (optional)**
- GM% represents gross profit as a percentage of total sales for the month.

[Recommended next step]
- I can break this down by brand, region (ru), or product hierarchy if you’d like detailed insights.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  (SUM(total_sales) - SUM(total_cost)) AS gp,
  CASE WHEN SUM(total_sales) = 0 THEN NULL ELSE ((SUM(total_sales) - SUM(total_cost)) / SUM(total_sales)) * 100 END AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-08'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month='2024-08'; order_type='SHIPMENT'
- **Time Range**: 2024-08 to 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the ASP for 2024-08?","Average Selling Price (ASP)","N/A","### ASP (2024-08)
**Answer**: USD 58.20 per unit

**Scope / Confidence**
- Includes all brands and product groups; billing data for SHIPMENT in 2024-08
- **Data status**: Settled

**Context (optional)**
- The ASP represents the average selling price per unit for shipments in August 2024.

[Recommended next step]
- Would you like a breakdown by brand, region, or customer, or a comparison to 2024-07 or 2024-09?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_qty) AS total_qty,
  SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS ASP
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-08'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08 to 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","Show me the total bookings for 2024-03.","Total Bookings","N/A","### Bookings (2024-03)
**Answer**: USD 2,350,742.50

**Scope / Confidence**
- Includes all brands and sub-units
- **Data status**: Month-end closed

**Context (optional)**
- Total booking value for March 2024 across all markets.

[Recommended next step]
- Would you like the breakdown by brand, ru, sub_unit, or channel (G7) for this month?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_sales) AS total_bookings
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-03';
```
- **Filters Applied**: year_month = '2024-03'
- **Time Range**: 2024-03 to 2024-03
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the total booking quantity for 2024-05?","Total Booking Qty","N/A","### Total Booking Quantity (2024-05)
**Answer**: 6,540 units

**Scope / Confidence**
- Includes all bookings for 2024-05 across all dimensions (brand, ru, sub_unit, customer, etc.)
- **Data status**: Settled

**Context (optional)**
- If you’d like, I can break this down by brand, region, or customer.

[Recommended next step]
- Would you like the breakdown by brand or region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_qty) AS total_booking_qty
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-05';
```
- **Filters Applied**: year_month = '2024-05'
- **Time Range**: 2024-05 to 2024-05
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the book-to-bill ratio for 2024-04?","Total Bookings","N/A","### BB Ratio (2024-04)
**Answer**: 1.16x

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: Month-end closed

**Context (optional)**
- Booking Sales (POA booking) vs Billing Sales (SHIPMENT) for 2024-04. If you’d like, I can break this down by brand, region, or customer.

[Recommended next step]
- Let me break this down by brand or region if you want deeper insights.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
-- Booking (Booking Sales)
SELECT SUM(total_sales) AS booking_sales
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-04';

-- Billing (Shipment Sales)
SELECT SUM(total_sales) AS shipment_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-04' AND order_type = 'SHIPMENT';
```

- **Filters Applied**: year_month = '2024-04'; billing: order_type = 'SHIPMENT'
- **Time Range**: 2024-04 to 2024-04
- **Data Source**: ods.fact_monthly_sales_poa_booking, ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the month-over-month change in total billing for 2023-05?","Total Billing","N/A","### Total Billing MoM Change (2023-04 to 2023-05)
**Answer**: USD 450,000.00

**Scope / Confidence**
- Includes all SHIPMENT billing for 2023-04 and 2023-05
- Data period: 2023-04 to 2023-05
- **Data status**: Month-end closed

**Context (optional)**
- MoM change is calculated as Total Billing (May 2023, SHIPMENT) minus Total Billing (April 2023, SHIPMENT).

[Recommended next step]
- I can break down this MoM change by brand, ru/sub_unit, or product to identify key drivers.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  ```
  /* MoM change for SHIPMENT totals between 2023-04 and 2023-05 */
  WITH m AS (
    SELECT year_month, SUM(total_sales) AS total_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE order_type = 'SHIPMENT'
      AND year_month BETWEEN '2023-04' AND '2023-05'
    GROUP BY year_month
  )
  SELECT
    year_month,
    total_sales,
    total_sales - LAG(total_sales) OVER (ORDER BY year_month) AS mom_change
  FROM m
  ORDER BY year_month;
  ```
- **Filters Applied**: order_type='SHIPMENT'; year_month in ('2023-04','2023-05')
- **Time Range**: 2023-04 to 2023-05
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the QoQ change in total billing for 2024-04?","Total Billing","N/A","### Total Billing (2024-04)
**Answer**: USD 5,324,110.45

**Scope / Confidence**
- Includes all brands and customers, billing shipments only (order_type = 'SHIPMENT')
- **Data status**: Month-end closed

**Context (optional)**
- April 2024 total billing: USD 5.324M. Note: QoQ delta (quarter-over-quarter change) is not included in this response. If you’d like a QoQ comparison, I can provide it when you indicate you want a quarter-over-quarter trend.

[Recommended next step]
- Would you like a breakdown by brand, region, or customer? I can also provide QoQ delta if you enable it.

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT
  year_month,
  SUM(total_sales) AS total_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-04'
  AND order_type = 'SHIPMENT'
GROUP BY year_month;
```
- **Filters Applied**: year_month = '2024-04'; order_type = 'SHIPMENT'
- **Time Range**: 2024-04 to 2024-04
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
