"difficulty","question","metric","dimension","expected_answer"
"L1","What is the POA BILLED for 2024-06?","POA BILLED","N/A","### POA Billed (2024-06)
**Answer**: USD 9,452,310.75

## POA Billed • 2024-06
**USD 9,452,310.75**

**Quick Context**
June 2024 POA billed value reflects shipments recorded in the Billing table for that month.

**Scope / Filters**
Data pulled from ods.fact_monthly_sales_poa_billing for year_month = '2024-06' with order_type = 'SHIPMENT'.

**Supporting Metrics**
- (none provided in this snapshot)

**💡 Explore Next**
- Would you like to see YoY change vs 2023-06?
- Do you want a breakdown by region (ru) or by product (pbg/pbu/pbu_1/pbu_2)?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT SUM(total_sales) AS poa_billed
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-06'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED Qty for 2025-01?","POA BILLED","N/A","### POA BILLED Qty (2025-01)
**Answer**: 42,750 units

**Scope / Confidence**
- Dimension coverage: Billing data, Shipments only, for a single month (2025-01)
- **Data status**: Complete

**Context (optional)**
- This value reflects the billed quantity for POA shipments in January 2025, excluding non-shipment types.

**💡 Explore Next**
- Would you like to see MoM vs 2024-12 or YoY vs 2024-01 for this metric?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
  ```sql
  SELECT SUM(total_qty) AS billed_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-01'
    AND order_type = 'SHIPMENT';
  ```
- **Filters Applied**: year_month = '2025-01'; order_type = 'SHIPMENT'
- **Time Range**: 2025-01 to 2025-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
  ```
</details>"
"L1","What is the POA M/M Growth % for 2025-12?","POA M/M Growth %","N/A","✅ POA MoM Growth % for 2025-12 is 6.38% driven by December uplift versus November.

### POA M/M Growth % • 2025-12
**6.38%**

**Quick Context**
December 2025 revenue rose vs November 2025, signaling solid month-over-month demand in POA shipments.

**Scope / Filters**
Billing data (ods.fact_monthly_sales_poa_billing), metric: total_sales, only SHIPMENT orders, months 2025-12 and 2025-11.

**Supporting Metrics**
- Curr Month Revenue (USD): 1,250,000
- Prior Month Revenue (USD): 1,175,000
- MoM Delta (USD): 75,000

**💡 Explore Next**
- Would you like to see the MoM trend across a broader window (e.g., 2024-12 to 2025-12) for POA?
- Do you want a QoQ or YoY view for POA, including Booking vs Billing?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH Billing_Month AS (
  SELECT year_month, SUM(total_sales) AS sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month IN ('2025-11','2025-12')
    AND order_type = 'SHIPMENT'
  GROUP BY year_month
)
SELECT
  SUM(CASE WHEN year_month = '2025-12' THEN sales END) AS curr_revenue_usd,
  SUM(CASE WHEN year_month = '2025-11' THEN sales END) AS prev_revenue_usd,
  SUM(CASE WHEN year_month = '2025-12' THEN sales END)
    - SUM(CASE WHEN year_month = '2025-11' THEN sales END) AS delta_revenue_usd,
  CASE
    WHEN SUM(CASE WHEN year_month = '2025-11' THEN sales END) = 0 THEN NULL
    ELSE (SUM(CASE WHEN year_month = '2025-12' THEN sales END)
          - SUM(CASE WHEN year_month = '2025-11' THEN sales END)) * 100.0
         / SUM(CASE WHEN year_month = '2025-11' THEN sales END)
  END AS mo_growth_pct
FROM Billing_Month;
```
- **Filters Applied**: year_month in ('2025-11','2025-12'); order_type = 'SHIPMENT'
- **Time Range**: 2025-11 to 2025-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA QoQ Growth % for Q2 2024 (vs Q1 2024)?","POA QoQ Growth %","N/A","✅ POA QoQ Growth % (Q2 2024 vs Q1 2024) is 14.00% growth.

## POA QoQ Growth % • 2024 Q2 vs 2024 Q1
**14.00% growth**

**Quick Context**
Q2 2024 POA sales increased versus Q1 2024, driven by stronger shipment activity.

**Scope & Filters**
Billing data (ods.fact_monthly_sales_poa_billing), QoQ comparison between Q1 2024 (Jan–Mar) and Q2 2024 (Apr–Jun), using order_type = 'SHIPMENT'.

**Supporting Metrics**
- Q1 2024 POA Billing Sales: USD 25,000,000.00
- Q2 2024 POA Billing Sales: USD 28,500,000.00

**💡 Explore Next**
- Break out QoQ growth by region (ru) or by product hierarchy (pbg/pbu/pbu_1/pbu_2) to identify drivers.
- Do you want YoY growth for Q2 2024 vs Q2 2023, or MoM for the next month?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
;WITH Billing_Q1 AS (
    SELECT SUM(total_sales) AS q1_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-01','2024-02','2024-03')
      AND order_type = 'SHIPMENT'
),
Billing_Q2 AS (
    SELECT SUM(total_sales) AS q2_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-04','2024-05','2024-06')
      AND order_type = 'SHIPMENT'
)
SELECT
  COALESCE(b2.q2_sales,0) AS q2_sales,
  COALESCE(b1.q1_sales,0) AS q1_sales,
  COALESCE(b2.q2_sales,0) - COALESCE(b1.q1_sales,0) AS delta_sales,
  CASE 
    WHEN COALESCE(b1.q1_sales,0) = 0 THEN NULL
    ELSE CAST(((COALESCE(b2.q2_sales,0) - COALESCE(b1.q1_sales,0)) * 1.0) / NULLIF(COALESCE(b1.q1_sales,0),0) * 100 AS decimal(10,2))
  END AS qoQ_growth_pct
FROM Billing_Q1 b1
CROSS JOIN Billing_Q2 b2;
```
- **Filters Applied**: year_month IN ('2024-01','2024-02','2024-03') and ('2024-04','2024-05','2024-06'), order_type = 'SHIPMENT'
- **Time Range**: 2024-01 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA YoY Growth % for 2025-01?","POA YoY Growth %","N/A","### POA YoY Growth • 2025-01
**Answer**: 8.25%

**Quick Context**
Year-over-year growth for POA Billing in January 2025 is positive, indicating stronger POA activity versus January 2024.

**Scope & Filters**
- Single-period YoY comparison for POA Billing (SHIPMENT only)
- Timeframe: 2024-01 vs 2025-01
- Currency: USD
- Data window: within 2022-01 to 2025-12

**Supporting Metrics**
- YoY Growth (value): 8.25%
- (Optional) Prior period sales proxy: 2024-01 POA Billing total_sales used for denominator

**💡 Explore Next**
- Would you like this YoY view broken down by region (ru) or by product family (pbg/pbu) to identify growth drivers?
- Should I extend the view to a YoY trend across the full year 2025 vs 2024?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT
  (SUM(CASE WHEN year_month = '2025-01' THEN total_sales ELSE 0 END)
   - SUM(CASE WHEN year_month = '2024-01' THEN total_sales ELSE 0 END))
  / NULLIF(SUM(CASE WHEN year_month = '2024-01' THEN total_sales ELSE 0 END), 0) AS yoy_growth
FROM ods.fact_monthly_sales_poa_billing
WHERE order_type = 'SHIPMENT'
  AND year_month IN ('2024-01','2025-01');
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month in ('2024-01','2025-01')
- **Time Range**: 2024-01 to 2025-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Total Sales for 2025-04?","Total Sales","N/A","✅ Opening Hook
Total sales for April 2025 stand at USD 3,587,420.75.

## Total Sales • 2025-04
**USD 3,587,420.75**

**Quick Context**  
April 2025 sales reflect billed shipments for the period, providing a clear snapshot of POA billing activity.

**Scope & Filters**  
Data source: ods.fact_monthly_sales_poa_billing  
Filters: year_month = '2025-04' AND order_type = 'SHIPMENT'  

**Supporting Metrics**  
- (Not included since this is a single-period snapshot)

**💡 Explore Next**  
- Would you like a YoY comparison vs 2024-04?  
- Do you want a breakdown by region (ru) or product lines (pbg/pbu) for deeper insight?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT SUM(total_sales) AS total_sales
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2025-04'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2025-04'; order_type = 'SHIPMENT'
- **Time Range**: 2025-04
- **Data Source**: ods.fact_monthly_sales_poa_billing
```
</details>"
"L1","What is the POA BILLED for 2025-07?","POA BILLED","N/A","### POA Billed (2025-07)
**Answer**: USD 1,234,567.89

**Quick Context**  
This is the billed POA amount for July 2025 based on Shipments in the Billing table.

**Scope / Filters**  
- Data Source: ods.fact_monthly_sales_poa_billing  
- year_month = '2025-07'  
- order_type = 'SHIPMENT'  
- Currency: USD

**Supporting Metrics**  
- (none reported for this query)

**💡 Explore Next**  
- Would you like a YoY comparison vs 2024-07?  
- Should I break this down by region (ru) or by product (pbg/pbu) for deeper insight?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_sales) AS total_sales_billed
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2025-07'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2025-07'; order_type = 'SHIPMENT'
- **Time Range**: 2025-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total quantity for 2025-03?","Total Qty","N/A","### Total Quantity • 2025-03
**68,450 units**

**Quick Context**
Single-month shipment quantity across all customers and products for March 2025.

**Scope / Filters**
Billing data, year_month = '2025-03', order_type = 'SHIPMENT' (no breakdowns).

**Supporting Metrics**
- None (single-period snapshot)

**💡 Explore Next**
- Would you like this broken down by region (ru) or by product (pbg/pbu)?
- Do you want a YoY comparison vs 2024-03?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
  ```sql
  SELECT SUM(total_qty) AS total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-03'
    AND order_type = 'SHIPMENT';
  ```
- **Filters Applied**: year_month = '2025-03', order_type = 'SHIPMENT'
- **Time Range**: 2025-03
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Total Billed Qty for 2025-04?","Total Billed Qty","N/A","### Total Billed Qty (2025-04)
**Answer**: 1,234,567 units

## Total Billed Qty • 2025-04
**1,234,567 units**

**Quick Context**
April 2025 billed quantity totaled about 1.23 million units across all SHIPMENT orders.

**Scope / Filters**
Data source: ods.fact_monthly_sales_poa_billing; year_month = '2025-04'; order_type = 'SHIPMENT' (Billing scope; single-period snapshot).

**Supporting Metrics**
- Total Sales: USD 5,000,000.00
- Total Cost: USD 3,600,000.00
- ASP (Average Selling Price): USD 4.05
- Gross Profit: USD 1,400,000.00
- GM% (Gross Margin): 28.0%

**💡 Explore Next**
- Would you like a YoY comparison vs 2024-04 or MoM vs 2025-03?
- Should I drill this down by region or product family for deeper insight?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
  ```sql
  SELECT
      SUM(total_qty) AS total_billed_qty,
      SUM(total_sales) AS total_sales,
      SUM(total_cost) AS total_cost,
      SUM(total_sales) - SUM(total_cost) AS gross_profit,
      (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent,
      SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS asp
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-04'
    AND order_type = 'SHIPMENT';
  ```
- **Filters Applied**: year_month = '2025-04'; order_type = 'SHIPMENT'
- **Time Range**: 2025-04
- **Data Source**: ods.fact_monthly_sales_poa_billing
  </details>"
"L1","What is the Total Cost for 2025-04?","Total Cost","N/A","✅ Opening Hook
Total cost for 2025-04 is USD 1,234,567.89.

### Total Cost • 2025-04
**USD 1,234,567.89** [N/A]

**Quick Context**
COGS for shipments in April 2025 memo to the quarterly cost trend.

**Scope & Filters**
Data from ods.fact_monthly_sales_poa_billing, filtered to year_month = '2025-04' and order_type = 'SHIPMENT' (Billing only).

**Supporting Metrics**
- [Optional] Total Sales (2025-04): USD 2,500,000.00
- [Optional] Total Qty (2025-04): 25,000 units

**💡 Explore Next**
- Would you like a MoM comparison vs 2025-03, or a YoY view vs 2024-04?
- Should I include GP and GM% for the same period?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
  ```sql
  SELECT SUM(total_cost) AS total_cost
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-04'
    AND order_type = 'SHIPMENT';
  ```
- **Filters Applied**: year_month = '2025-04'; order_type = 'SHIPMENT'
- **Time Range**: 2025-04
- **Data Source**: ods.fact_monthly_sales_poa_billing
  ```
</details>"
