"difficulty","question","metric","dimension","expected_answer"
"L2","What is the total billed sales for RU in 2024-01?","total_sales","ru, year_month","### Total Billed Sales (2024-01)
**Answer**: USD 2,531,420.75

**Scope / Confidence**
- Includes all RU (region) values
- Filtered to year_month = '2024-01' and order_type = 'SHIPMENT'
- **Data status**: Month-end closed

**Context (optional)**
- The total billed sales reflect shipments recorded in 2024-01 across all regions.

Would you like a breakdown by RU or by product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS total_billed_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-01'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = 2024-01; order_type = SHIPMENT
- **Time Range**: 2024-01 to 2024-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total billed quantity for EMEA (ru) in 2024-07 (POA BILLED Qty)?","total_qty","ru","### Billed Qty (2024-07)
**Answer**: 58,900 units

**Scope / Confidence**
- Includes ru = EMEA; year_month = 2024-07; order_type = SHIPMENT (Billing)
- **Data status**: Month-end closed

**Context (optional)**
- Represents total billed quantity for shipments in the EMEA region for July 2024.

Would you like a breakdown by product group or by country/region within EMEA?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
  SELECT SUM(total_qty) AS billed_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-07'
    AND ru = 'EMEA'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2024-07'; ru = 'EMEA'; order_type = 'SHIPMENT'
- **Time Range**: 2024-07
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the POA MoM growth % for billing in 2023-01?","MoM Growth %","year_month","### Billing MoM Growth % (2023-01)
**Answer**: 10.71% (MoM: USD 1,500,000.00 | 10.71%)

**Scope / Confidence**
- Includes all regions and product groups
- **Data status**: Month-end closed

**Context (optional)**
- Billing revenue in 2023-01 rose versus 2022-12 by USD 1.50M, representing a MoM growth of 10.71%.

Would you like a breakdown by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
WITH Curr AS (
  SELECT SUM(total_sales) AS curr_sales, SUM(total_qty) AS curr_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2023-01'
    AND order_type = 'SHIPMENT'
),
Prior AS (
  SELECT SUM(total_sales) AS prior_sales, SUM(total_qty) AS prior_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2022-12'
    AND order_type = 'SHIPMENT'
)
SELECT
  (Curr.curr_sales - Prior.prior_sales) AS delta_sales,
  CASE WHEN Prior.prior_sales = 0 THEN NULL ELSE (Curr.curr_sales - Prior.prior_sales) / Prior.prior_sales * 1.0 END AS growth_pct
FROM Curr CROSS JOIN Prior;
```
- **Filters Applied**: year_month IN ('2023-01','2022-12'), order_type = 'SHIPMENT'
- **Time Range**: 2022-12 to 2023-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","Analyze QoQ growth percentage in total_sales for EMEA (ru) from Q2 2024 to Q3 2024.","QoQ growth in total_sales","ru","### Total Sales QoQ Growth (Q3 2024 vs Q2 2024, EMEA)
**Answer**: 7.50% (QoQ: USD 0.90M | 7.50%)

**Scope / Confidence**
- Includes ru = EMEA, order_type = SHIPMENT, and total_sales aggregated for Q2 2024 (2024-04 to 2024-06) and Q3 2024 (2024-07 to 2024-09)
- **Data status**: Month-end closed

**Context (optional)**
- QoQ growth increased by 0.90 million USD, from USD 12.00M in Q2 2024 to USD 12.90M in Q3 2024.

[Recommended next step]
- Would you like a breakdown by month within each quarter or by sub-regions within EMEA?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
WITH prior_q2 AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE ru = 'EMEA'
    AND year_month IN ('2024-04','2024-05','2024-06')
    AND order_type = 'SHIPMENT'
),
current_q3 AS (
  SELECT SUM(total_sales) AS current_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE ru = 'EMEA'
    AND year_month IN ('2024-07','2024-08','2024-09')
    AND order_type = 'SHIPMENT'
)
SELECT c.current_sales,
       p.prior_sales,
       (c.current_sales - p.prior_sales) AS delta_sales,
       ( (c.current_sales - p.prior_sales) / NULLIF(p.prior_sales, 0) ) AS growth_pct
FROM current_q3 c, prior_q2 p;
```
- **Filters Applied**: ru = 'EMEA'; year_month IN ('2024-04','2024-05','2024-06','2024-07','2024-08','2024-09'); order_type = 'SHIPMENT'
- **Time Range**: 2024-04 to 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the YoY growth percentage in POA total_sales for customer HON HAI in 2024?","YoY Growth %","customer_parent","### YoY Growth in POA total_sales (2024)
**Answer**: 20.0%

**Scope / Confidence**
- Includes HON HAI across all relevant Billing (SHIPMENT) records for 2024 vs 2023
- **Data status**: Month-end closed

**Context (optional)**
- Delta (Current - Prior): USD 2,600,000
- Growth: 20.0%

Would you like a breakdown by month or by region as a follow-up?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
WITH Curr AS (
  SELECT SUM(total_sales) AS curr_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month BETWEEN '2024-01' AND '2024-12'
    AND (customer_parent = 'HON HAI' OR local_assembler = 'HON HAI' OR final_customer = 'HON HAI')
    AND order_type = 'SHIPMENT'
),
Prior AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month BETWEEN '2023-01' AND '2023-12'
    AND (customer_parent = 'HON HAI' OR local_assembler = 'HON HAI' OR final_customer = 'HON HAI')
    AND order_type = 'SHIPMENT'
)
SELECT
  Curr.curr_sales,
  Prior.prior_sales,
  (Curr.curr_sales - Prior.prior_sales) AS delta_sales,
  CASE WHEN Prior.prior_sales = 0 THEN NULL ELSE (Curr.curr_sales - Prior.prior_sales) / Prior.prior_sales END AS yoy_growth
FROM Curr, Prior;
```
- **Filters Applied**: 
  - Customer filter: (customer_parent = 'HON HAI' OR local_assembler = 'HON HAI' OR final_customer = 'HON HAI')
  - order_type = 'SHIPMENT'
  - Time ranges: 2024-01 to 2024-12 for Curr; 2023-01 to 2023-12 for Prior
- **Time Range**: 2024 calendar year vs 2023 calendar year
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total sales for EMEA (ru) in 2023-01?","total_sales","ru, year_month","### Total Sales (2023-01)
**Answer**: USD 1,238,456.78

**Scope / Confidence**
- Includes all shipments (order_type = SHIPMENT) for ru = EMEA in 2023-01
- **Data status**: Month-end closed

**Context (optional)**
- This is a single-period snapshot of Billing totals for the EMEA region in January 2023.

Would you like a breakdown by country within EMEA or by product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2023-01'
    AND ru = 'EMEA'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2023-01'; ru = 'EMEA'; order_type = 'SHIPMENT'
- **Time Range**: 2023-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total billed for the EMEA region in 2024-01?","total_sales","region","### Total Billed (EMEA, 2024-01)
**Answer**: USD 3,257,420.67

**Scope / Confidence**
- Includes all SHIPMENT (Billing) records for the EMEA region in 2024-01
- **Data status**: Month-end closed

**Context (optional)**
- This is a single-period snapshot of Billing net sales (total_sales) for January 2024 in EMEA. Backlog or OTR nuances are not included since the default is SHIPMENT.

Would you like a breakdown by product group or by sub-region within EMEA?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS total_billed
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-01'
    AND ru = 'EMEA'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2024-01'; ru = 'EMEA'; order_type = 'SHIPMENT'
- **Time Range**: 2024-01 to 2024-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total quantity for 2023-01?","Total Qty","year_month","### Total Quantity (2023-01)
**Answer**: 1,237,500 units

**Scope / Confidence**
- Includes all shipments for the specified period (no breakdown)
- **Data status**: Month-end closed

**Context (optional)**
- Single-period total quantity for Billing SHIPMENT records in 2023-01. Would you like a breakdown by brand or region, or a YoY comparison to 2022-01?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_qty) AS total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2023-01'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2023-01'; order_type = 'SHIPMENT'
- **Time Range**: 2023-01 to 2023-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total billed quantity for ru 'EMEA' in 2023-01?","total_qty","ru","### Total Billed Quantity (2023-01)
**Answer**: 9,876 units

**Scope / Confidence**
- Includes all shipments (SHIPMENT) for ru = 'EMEA' in 2023-01
- **Data status**: Month-end closed

**Context (optional)**
- This value represents the billed quantity from the Billing table for the specified region and period. Other order types (non-shipments) are excluded by default.

[Would you like this broken down further by country within EMEA or by product group?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_qty) AS total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2023-01'
    AND ru = 'EMEA'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2023-01'; ru = 'EMEA'; order_type = 'SHIPMENT'
- **Time Range**: 2023-01 to 2023-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L2","What is the total cost for brand KEMET in January 2024?","total_cost","brand, year_month","### Total Cost (2024-01)
**Answer**: USD 1,234,567.89

**Scope / Confidence**
- Includes all SHIPMENT costs for brand KEMET in January 2024 (single-figure total; no breakdown by region or product hierarchy)
- **Data status**: Month-end closed

**Context (optional)**
- This is the cost of goods for KEMET shipments billed in January 2024. Costs are captured only for SHIPMENT order_type.

[Would you like this broken out by region (ru) or by product group (pbg/pbu)?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_cost) AS total_cost
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-01'
  AND brand = 'KEMET'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-01'; brand = 'KEMET'; order_type = 'SHIPMENT'
- **Time Range**: 2024-01 to 2024-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
