"difficulty","question","metric","dimension","expected_answer"
"L1","What is the POA BILLED total for 2024-10?","POA BILLED","N/A","### POA Billed Total (2024-10)
**Answer**: USD 7,892,456.12

**Scope / Confidence**
- Includes all SHIPMENT-type billing totals for October 2024 across all brands and reporting units
- **Data status**: Month-end closed

**Context (optional)**
- POA Billing total billed amount for October 2024

Would you like a breakdown by brand or by region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_sales) AS billed_total
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-10'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-10'; order_type = 'SHIPMENT'
- **Time Range**: 2024-10 to 2024-10
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED Qty for December 2024?","POA BILLED","TOTAL","### POA BILLED Qty (December 2024)
**Answer**: 9,876 units

**Scope / Confidence**
- Includes all SHIPMENT (billing) records for December 2024
- Data status: Month-end closed

**Context (optional)**
- This is the POA billed quantity for December 2024 aggregated across all brands and regions.

[Would you like a breakdown by brand, ru, or product hierarchy?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
SELECT SUM(total_qty) AS poa_billed_qty
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-12'
  AND order_type = 'SHIPMENT';
```

- **Filters Applied**: year_month = '2024-12'; order_type = 'SHIPMENT'
- **Time Range**: 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED M/M Growth % for 2025-10?","POA BILLED M/M Growth %","N/A","### POA BILLED (2025-10)
**Answer**: 8.25% (MoM: USD 5,420.50 | 8.25%)

**Scope / Confidence**
- Includes all billing shipments (order_type = 'SHIPMENT')
- Data status: Month-end closed

**Context (optional)**
- The POA billed amount for 2025-10 grew 8.25% versus 2025-09, with a delta of USD 5,420.50.

[Recommended next step]
- Would you like a breakdown by ru/brand or by product hierarchy to understand which segments drove the MoM change?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH current AS (
  SELECT SUM(total_sales) AS current_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-10'
    AND order_type = 'SHIPMENT'
),
prior AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-09'
    AND order_type = 'SHIPMENT'
),
delta AS (
  SELECT current_sales, prior_sales,
         (current_sales - prior_sales) AS delta,
         NULLIF((current_sales - prior_sales) / NULLIF(prior_sales,0) * 100, 0) AS growth_pct
  FROM current CROSS JOIN prior
)
SELECT current_sales, prior_sales, delta, growth_pct
FROM delta;
```
- **Filters Applied**: year_month IN ('2025-09','2025-10'), order_type = 'SHIPMENT'
- **Time Range**: 2025-09 to 2025-10
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA Q/Q Growth % for Q2 2024?","POA Q/Q Growth %","N/A","### POA QoQ Growth (Q2 2024)
**Answer**: USD 4,850,000 (QoQ: USD 900,000 | 22.78%)

**Scope / Confidence**
- Includes all brands and regions; quarterly aggregation; no breakdown by dimension unless requested
- **Data status**: Month-end closed

**Context (optional)**
- Q2 2024 POA billing rose versus Q1 2024, led by stronger shipments in April and June. Would you like a breakdown by brand or region?

[Would you like a breakdown by brand or region?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  WITH curr AS (
    SELECT SUM(total_sales) AS curr_total
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-04','2024-05','2024-06')
  ),
  prev AS (
    SELECT SUM(total_sales) AS prev_total
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-01','2024-02','2024-03')
  )
  SELECT
    curr.curr_total AS current_period_total,
    prev.prev_total AS previous_period_total,
    (curr.curr_total - prev.prev_total) AS delta,
    NULLIF((curr.curr_total - prev.prev_total) / NULLIF(prev.prev_total,0), 0) AS growth_pct
  FROM curr CROSS JOIN prev;

- **Filters Applied**: year_month IN ('2024-04','2024-05','2024-06') for current; year_month IN ('2024-01','2024-02','2024-03') for previous
- **Time Range**: 2024-01 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA Year-over-Year Growth % for December 2024?","POA Y/Y Growth %","N/A","### POA Total Sales (Dec 2024)
**Answer**: USD 1,250,000.00 (YoY: +USD 150,000.00 | 13.64%)

**Scope / Confidence**
- Includes all billing records for December 2024 and December 2023 (SHIPMENT only)
- Data status: Month-end closed

**Context (optional)**
- YoY growth indicates Dec 2024 POA billing total sales increased by 13.64% versus Dec 2023.

Would you like this broken down by region or product line?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
WITH Current_Period AS (
  SELECT SUM(total_sales) AS current_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-12'
    AND order_type = 'SHIPMENT'
),
Baseline_Period AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2023-12'
    AND order_type = 'SHIPMENT'
)
SELECT 
  current_sales,
  prior_sales,
  (current_sales - prior_sales) AS delta_sales,
  NULLIF((current_sales - prior_sales) / NULLIF(prior_sales, 0), 0) * 100 AS yoy_growth_pct
FROM Current_Period
CROSS JOIN Baseline_Period;
```
- **Filters Applied**: year_month IN ('2024-12', '2023-12'); order_type = 'SHIPMENT'
- **Time Range**: 2023-12 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total sales for 2024-10?","Total Sales","N/A","### Total Sales (2024-10)
**Answer**: USD 7,845,123.45

**Scope / Confidence**
- Includes all brands and product groups
- **Data status**: Month-end closed

**Context (optional)**
- Snapshot of billed revenue (SHIPMENT) for October 2024.

Would you like a breakdown by region (ru) or by brand?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS total_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-10'
    AND order_type = 'SHIPMENT';

- **Filters Applied**: year_month = '2024-10'; order_type = 'SHIPMENT'

- **Time Range**: 2024-10 to 2024-10

- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total POA billed in 2024-08?","POA BILLED","N/A","### POA Billed (2024-08)
**Answer**: USD 3,892,105.63

**Scope / Confidence**
- Includes all billing records for 2024-08, shipment type, across all brands and regions
- **Data status**: Month-end closed

**Context (optional)**
- This reflects the total POA billed in August 2024, calculated as sum(total_sales) from ods.fact_monthly_sales_poa_billing where year_month = '2024-08' and order_type = 'SHIPMENT'. No MoM/YoY comparison is provided unless requested.

[Would you like a breakdown by brand or region?]

<details>
<summary>Technical Log</summary>

- **SQL Query**:
SELECT
  SUM(total_sales) AS poa_billed,
  MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-08'
  AND order_type = 'SHIPMENT';

- **Filters Applied**: year_month = '2024-08'; order_type = 'SHIPMENT'
- **Time Range**: 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total booking quantity for 2024-08?","total_qty","N/A","### Booking Quantity (2024-08)
**Answer**: 12,467 units

**Scope / Confidence**
- Includes all bookings for 2024-08 across all customers and product groups
- **Data status**: Month-end data settled

**Context (optional)**
- This is the total booking quantity for August 2024 from the bookings table.

Would you like a breakdown by brand or region?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
```
SELECT
  SUM(total_qty) AS booking_qty,
  MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_booking
WHERE year_month = '2024-08';
```

- **Filters Applied**: year_month = '2024-08'
- **Time Range**: 2024-08
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the total billed quantity for 2024-06?","total_qty","N/A","### Total Billed Quantity (2024-06)
**Answer**: 125,420 units

**Scope / Confidence**
- Includes all brands, regions, and product hierarchies (single-period total)
- **Data status**: Month-end closed

**Context (optional)**
- Snapshot reflects billed shipments only (order_type = 'SHIPMENT')

[Would you like a breakdown by ru (region) or brand, or a YoY/MoM trend for this metric?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_qty) AS total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-06'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-06 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the total cost for 2025-06?","TOTAL_COST","N/A","### Total Cost (2025-06)
**Answer**: USD 2,457,890.12

**Scope / Confidence**
- Includes all shipments for 2025-06 (billing SHIPMENT only)
- **Data status**: Month-end closed

**Context (optional)**
- This is the billed cost for shipments in June 2025.

Would you like a breakdown by region or by brand?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT SUM(total_cost) AS total_cost,
       MAX(updated_date) AS updated_date
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2025-06'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2025-06'; order_type = 'SHIPMENT'
- **Time Range**: 2025-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
